mean_temp,max_temp,date
70.09999999999999,84.2,01sep2004
56.1,67.8,01oct2004
43.8,53.9,01nov2004
41.1,50.4,01dec2004
40.4,49.3,01jan2005
42.3,51,01feb2005
49.5,61.2,01mar2005
52.3,65.90000000000001,01apr2005
64,78.40000000000001,01may2005
68.8,83.2,01jun2005
82.3,95.90000000000001,01jul2005
78.09999999999999,91.09999999999999,01aug2005
67.5,80.09999999999999,01sep2005
58.9,71.7,01oct2005
51.6,63.2,01nov2005
43.3,53.1,01dec2005
38.8,48.4,01jan2006
45.4,57.3,01feb2006
37.1,48.9,01mar2006
52,64.3,01apr2006
67.3,81.7,01may2006
75.90000000000001,89.8,01jun2006
82.7,95.59999999999999,01jul2006
78.2,90.90000000000001,01aug2006
70.40000000000001,83.40000000000001,01sep2006
57.7,70.5,01oct2006
50.4,62.2,01nov2006
41.6,52.9,01dec2006
36.8,48.1,01jan2007
44.7,55.3,01feb2007
53.8,67,01mar2007
57.1,71.2,01apr2007
63.6,74.8,01may2007
73.3,87.2,01jun2007
81.09999999999999,93.5,01jul2007
79.7,90.90000000000001,01aug2007
66.90000000000001,78.59999999999999,01sep2007
58.5,71.2,01oct2007
53,64.3,01nov2007
37.2,47.5,01dec2007
37.1,45.4,01jan2008
43.4,54.8,01feb2008
48.9,61.3,01mar2008
53.6,66.59999999999999,01apr2008
62.9,76.5,01may2008
74.8,89.3,01jun2008
81,93.7,01jul2008
82,95,01aug2008
73.3,86.90000000000001,01sep2008
59.1,72.2,01oct2008
51.4,61.8,01nov2008
39.7,49.4,01dec2008
45,54.9,01jan2009
41.1,51.6,01feb2009
47.6,59.9,01mar2009
53.2,67.09999999999999,01apr2009
70.40000000000001,84.7,01may2009
66.5,78.7,01jun2009
82.8,96.2,01jul2009
78.7,91.7,01aug2009
76,90.2,01sep2009
56.6,69.3,01oct2009
50.1,60.6,01nov2009
37.9,48.2,01dec2009
41.1,50.5,01jan2010
43.3,54,01feb2010
47.4,59.3,01mar2010
50.6,63.8,01apr2010
56.4,68.5,01may2010
71.59999999999999,84.09999999999999,01jun2010
79.2,91.40000000000001,01jul2010
76.90000000000001,89.90000000000001,01aug2010
72.59999999999999,86.5,01sep2010
59.2,70.5,01oct2010
45.8,55.7,01nov2010
43.2,51.6,01dec2010
42.9,53.6,01jan2011
39.9,51.1,01feb2011
47.3,58.1,01mar2011
55.6,69.5,01apr2011
59.4,73.09999999999999,01may2011
69.2,83.59999999999999,01jun2011
77.8,90.8,01jul2011
79.8,92.90000000000001,01aug2011
74.3,87.2,01sep2011
61.7,73.09999999999999,01oct2011
46.1,56.6,01nov2011
41.1,50.3,01dec2011
47.8,58,01jan2012
44.2,54.1,01feb2012
48.4,60.6,01mar2012
56.4,69.7,01apr2012
67.59999999999999,82.40000000000001,01may2012
74.8,89.90000000000001,01jun2012
78.90000000000001,91.3,01jul2012
81.59999999999999,93.8,01aug2012
74.5,87.59999999999999,01sep2012
61.7,74.90000000000001,01oct2012
52.7,62.1,01nov2012
39.6,48.1,01dec2012
37.7,46.9,01jan2013
41.9,54.2,01feb2013
52.7,65.40000000000001,01mar2013
59.9,73.59999999999999,01apr2013
66.3,79.8,01may2013
77.3,91.8,01jun2013
82.7,95.2,01jul2013
78,89.7,01aug2013
71.8,84.40000000000001,01sep2013
56.4,70.09999999999999,01oct2013
48.1,59.6,01nov2013
42.1,53.2,01dec2013
49.1,60.2,01jan2014
48.5,60.1,01feb2014
52.5,65.3,01mar2014
58.2,72,01apr2014
66.7,80.59999999999999,01may2014
76.59999999999999,90.90000000000001,01jun2014
82.7,95.59999999999999,01jul2014
76.5,88,01aug2014
73.8,86.7,01sep2014
64,77.59999999999999,01oct2014
51.5,63.8,01nov2014
41.6,50.3,01dec2014
46.3,56.2,01jan2015
52.6,64.7,01feb2015
55.3,67.40000000000001,01mar2015
56,69.3,01apr2015
61.8,73.8,01may2015
77.40000000000001,91.2,01jun2015
76.40000000000001,87.8,01jul2015
80.90000000000001,92.59999999999999,01aug2015
74.2,86.2,01sep2015
61.5,71.59999999999999,01oct2015
43.9,54.7,01nov2015
38.2,48.4,01dec2015
41.1,49.2,01jan2016
48.2,60.4,01feb2016
51.2,62.1,01mar2016
57,68.8,01apr2016
62.4,75.5,01may2016
78.8,92.59999999999999,01jun2016
82.09999999999999,95.09999999999999,01jul2016
80.2,92.40000000000001,01aug2016
70.5,82.7,01sep2016
61.2,72.3,01oct2016
50.1,61.1,01nov2016
41,50.3,01dec2016
38.4,45.5,01jan2017
43.9,52,01feb2017
52.4,64.2,01mar2017
56.2,68.90000000000001,01apr2017
65,79,01may2017
76,89.40000000000001,01jun2017
83.5,95.90000000000001,01jul2017
79.7,91.7,01aug2017
69.2,81.3,01sep2017
61.5,74.8,01oct2017
52.6,63.4,01nov2017
47.2,58.4,01dec2017
46.5,56.2,01jan2018
43.9,55.6,01feb2018
45.7,55.9,01mar2018
59,73.09999999999999,01apr2018
65.2,78.5,01may2018
75.8,89.8,01jun2018
